Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-4tetrahydroacridindecoy42,145,"-9,9",0,1,136,9,"0,1857","0,563",,"0,062","3,0297","0,1857",,
Donepezildecoy41,146,"-9,9",0,1,137,9,"0,1869","0,563",,"0,062","3,0089","0,1869",,
4iodo-4tetrahydroacridindecoy30,147,"-9,8",0,1,138,9,"0,1882","0,563",,"0,061","2,9885","0,1882",,
2iodo-2tetrahydroacridindecoy12,148,"-9,8",0,1,139,9,"0,1895","0,563",,"0,061","2,9683","0,1895",,
Heptyl-physostigminedecoy32,149,"-9,8",0,1,140,9,"0,1908","0,563",,"0,060","2,9483","0,1908",,
4iodo-4tetrahydroacridindecoy39,150,"-9,8",0,1,141,9,"0,1921","0,563",,"0,060","2,9287","0,1921",,
2iodo-2tetrahydroacridindecoy6,151,"-9,8",0,1,142,9,"0,1933","0,563",,"0,060","2,9093","0,1933",,
2iodo-3tetrahydroacridindecoy27,152,"-9,8",0,1,143,9,"0,1946","0,563",,"0,059","2,8902","0,1946",,
3iodo-2tetrahydroacridindecoy7,153,"-9,8",0,1,144,9,"0,1959","0,563",,"0,059","2,8713","0,1959",,
Bis-tacrinedecoy26,154,"-9,8",0,1,145,9,"0,1972","0,563",,"0,058","2,8526","0,1972",,
Donepezildecoy43,155,"-9,8",0,1,146,9,"0,1985","0,563",,"0,058","2,8342","0,1985",,
Bis-tacrinedecoy6,156,"-9,8",0,1,147,9,"0,1997","0,563",,"0,058","2,8160","0,1997",,
Donepezildecoy21,157,"-9,8",0,1,148,9,"0,2010","0,563",,"0,057","2,7981","0,2010",,
Bis-tacrinedecoy29,158,"-9,7",0,1,149,9,"0,2023","0,563",,"0,057","2,7804","0,2023",,
4iodo-2tetrahydroacridindecoy20,159,"-9,7",0,1,150,9,"0,2036","0,563",,"0,057","2,7629","0,2036",,
4iodo-3tetrahydroacridindecoy19,160,"-9,7",0,1,151,9,"0,2049","0,563",,"0,056","2,7456","0,2049",,
2iodo-3tetrahydroacridindecoy3,161,"-9,7",0,1,152,9,"0,2061","0,563",,"0,056","2,7286","0,2061",,
4iodo-3tetrahydroacridindecoy1,162,"-9,7",0,1,153,9,"0,2074","0,563",,"0,056","2,7117","0,2074",,
2iodo-4tetrahydroacridindecoy1,163,"-9,7",0,1,154,9,"0,2087","0,563",,"0,055","2,6951","0,2087",,
4iodo-3tetrahydroacridindecoy25,164,"-9,7",0,1,155,9,"0,2100","0,563",,"0,055","2,6787","0,2100",,
Tolserinedecoy17,165,"-9,7",0,1,156,9,"0,2113","0,563",,"0,055","2,6624","0,2113",,
2iodo-4tetrahydroacridindecoy12,166,"-9,7",0,1,157,9,"0,2125","0,563",,"0,054","2,6464","0,2125",,
