Ligand,Ordem,Affinity_mean,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
3iodo-2tetrahydroacridindecoy19,150,"-10,0",0,1,148,2,"0,19206","0,1250",,,"0,0133","0,6508","0,1921",,
4iodo-3tetrahydroacridindecoy1,151,"-10,0",0,1,149,2,"0,19334","0,1250",,,"0,0132","0,6465","0,1933",,
3iodo-4tetrahydroacridindecoy30,152,"-10,0",0,1,150,2,"0,19462","0,1250",,,"0,0132","0,6423","0,1946",,
2iodo-2tetrahydroacridindecoy24,153,"-10,0",0,1,151,2,"0,19590","0,1250",,,"0,0131","0,6381","0,1959",,
2iodo-4tetrahydroacridindecoy21,154,"-10,0",0,1,152,2,"0,19718","0,1250",,,"0,0130","0,6339","0,1972",,
2iodo-4tetrahydroacridindecoy44,155,"-10,0",0,1,153,2,"0,19846","0,1250",,,"0,0129","0,6298","0,1985",,
Donepezildecoy29,156,"-10,0",0,1,154,2,"0,19974","0,1250",,,"0,0128","0,6258","0,1997",,
2iodo-2tetrahydroacridindecoy12,157,"-10,0",0,1,155,2,"0,20102","0,1250",,,"0,0127","0,6218","0,2010",,
2iodo-3tetrahydroacridindecoy6,158,"-10,0",0,1,156,2,"0,20230","0,1250",,,"0,0127","0,6179","0,2023",,
Donepezildecoy28,159,"-10,0",0,1,157,2,"0,20359","0,1250",,,"0,0126","0,6140","0,2036",,
4iodo-3tetrahydroacridindecoy23,160,"-10,0",0,1,158,2,"0,20487","0,1250",,,"0,0125","0,6101","0,2049",,
3iodo-4tetrahydroacridindecoy12,161,"-10,0",0,1,159,2,"0,20615","0,1250",,,"0,0124","0,6064","0,2061",,
4iodo-2tetrahydroacridindecoy21,162,"-10,0",0,1,160,2,"0,20743","0,1250",,,"0,0123","0,6026","0,2074",,
2iodo-3tetrahydroacridindecoy9,163,"-10,0",0,1,161,2,"0,20871","0,1250",,,"0,0123","0,5989","0,2087",,
4iodo-3tetrahydroacridindecoy49,164,"-10,0",0,1,162,2,"0,20999","0,1250",,,"0,0122","0,5953","0,2100",,
4iodo-3tetrahydroacridindecoy22,165,"-10,0",0,1,163,2,"0,21127","0,1250",,,"0,0121","0,5917","0,2113",,
2iodo-4tetrahydroacridindecoy32,166,"-10,0",0,1,164,2,"0,21255","0,1250",,,"0,0120","0,5881","0,2125",,
2iodo-4tetrahydroacridindecoy2,167,"-10,0",0,1,165,2,"0,21383","0,1250",,,"0,0120","0,5846","0,2138",,
3iodo-2tetrahydroacridindecoy10,168,"-10,0",0,1,166,2,"0,21511","0,1250",,,"0,0119","0,5811","0,2151",,
2iodo-2tetrahydroacridindecoy8,169,"-10,0",0,1,167,2,"0,21639","0,1250",,,"0,0118","0,5777","0,2164",,
4iodo-4tetrahydroacridindecoy11,170,"-10,0",0,1,168,2,"0,21767","0,1250",,,"0,0118","0,5743","0,2177",,
3iodo-4tetrahydroacridindecoy37,171,"-10,0",0,1,169,2,"0,21895","0,1250",,,"0,0117","0,5709","0,2190",,
Heptyl-physostigminedecoy36,172,"-9,9",0,1,170,2,"0,22023","0,1250",,,"0,0116","0,5676","0,2202",,
2iodo-4tetrahydroacridindecoy38,173,"-9,9",0,1,171,2,"0,22151","0,1250",,,"0,0116","0,5643","0,2215",,
4iodo-3tetrahydroacridindecoy37,174,"-9,9",0,1,172,2,"0,22279","0,1250",,,"0,0115","0,5611","0,2228",,
2iodo-4tetrahydroacridindecoy18,175,"-9,9",0,1,173,2,"0,22407","0,1250",,,"0,0114","0,5578","0,2241",,
4iodo-4tetrahydroacridindecoy15,176,"-9,9",0,1,174,2,"0,22535","0,1250",,,"0,0114","0,5547","0,2254",,
2iodo-3tetrahydroacridindecoy38,177,"-9,9",0,1,175,2,"0,22663","0,1250",,,"0,0113","0,5515","0,2266",,
4iodo-2tetrahydroacridindecoy3,178,"-9,9",0,1,176,2,"0,22791","0,1250",,,"0,0112","0,5484","0,2279",,
3iodo-4tetrahydroacridindecoy26,179,"-9,9",0,1,177,2,"0,22919","0,1250",,,"0,0112","0,5454","0,2292",,
2iodo-3tetrahydroacridin,180,"-9,9",1,0,177,3,"0,23047","0,1875",,,"0,0167","0,8135","0,2305",,
4iodo-2tetrahydroacridindecoy19,181,"-9,9",0,1,178,3,"0,23175","0,1875",,,"0,0166","0,8090","0,2318",,
4iodo-3tetrahydroacridindecoy19,182,"-9,9",0,1,179,3,"0,23303","0,1875",,,"0,0165","0,8046","0,2330",,
3iodo-2tetrahydroacridindecoy26,183,"-9,9",0,1,180,3,"0,23431","0,1875",,,"0,0164","0,8002","0,2343",,
3iodo-2tetrahydroacridindecoy8,184,"-9,9",0,1,181,3,"0,23560","0,1875",,,"0,0163","0,7958","0,2356",,
2iodo-3tetrahydroacridindecoy3,185,"-9,9",0,1,182,3,"0,23688","0,1875",,,"0,0162","0,7915","0,2369",,
2iodo-4tetrahydroacridindecoy8,186,"-9,9",0,1,183,3,"0,23816","0,1875",,,"0,0161","0,7873","0,2382",,
2iodo-2tetrahydroacridindecoy20,187,"-9,9",0,1,184,3,"0,23944","0,1875",,,"0,0160","0,7831","0,2394",,
2iodo-2tetrahydroacridindecoy29,188,"-9,9",0,1,185,3,"0,24072","0,1875",,,"0,0160","0,7789","0,2407",,
4iodo-3tetrahydroacridindecoy24,189,"-9,9",0,1,186,3,"0,24200","0,1875",,,"0,0159","0,7748","0,2420",,
Heptyl-physostigminedecoy3,190,"-9,9",0,1,187,3,"0,24328","0,1875",,,"0,0158","0,7707","0,2433",,
4iodo-4tetrahydroacridindecoy23,191,"-9,9",0,1,188,3,"0,24456","0,1875",,,"0,0157","0,7667","0,2446",,
4iodo-4tetrahydroacridin,192,"-9,9",1,0,188,4,"0,24584","0,2500",,,"0,0208","1,0169","0,2458",,
4iodo-3tetrahydroacridindecoy15,193,"-9,9",0,1,189,4,"0,24712","0,2500",,,"0,0207","1,0116","0,2471",,
4iodo-4tetrahydroacridindecoy37,194,"-9,9",0,1,190,4,"0,24840","0,2500",,,"0,0206","1,0064","0,2484",,
3iodo-2tetrahydroacridindecoy16,195,"-9,9",0,1,191,4,"0,24968","0,2500",,,"0,0205","1,0013","0,2497",,
2iodo-2tetrahydroacridindecoy11,196,"-9,9",0,1,192,4,"0,25096","0,2500",,,"0,0204","0,9962","0,2510",,
2iodo-3tetrahydroacridindecoy4,197,"-9,9",0,1,193,4,"0,25224","0,2500",,,"0,0203","0,9911","0,2522",,
3iodo-4tetrahydroacridindecoy5,198,"-9,9",0,1,194,4,"0,25352","0,2500",,,"0,0202","0,9861","0,2535",,
4iodo-2tetrahydroacridindecoy38,199,"-9,8",0,1,195,4,"0,25480","0,2500",,,"0,0201","0,9811","0,2548",,
2iodo-2tetrahydroacridindecoy27,200,"-9,8",0,1,196,4,"0,25608","0,2500",,,"0,0200","0,9762","0,2561",,
4iodo-2tetrahydroacridindecoy35,201,"-9,8",0,1,197,4,"0,25736","0,2500",,,"0,0199","0,9714","0,2574",,
Tolserinedecoy36,202,"-9,8",0,1,198,4,"0,25864","0,2500",,,"0,0198","0,9666","0,2586",,
3iodo-4tetrahydroacridindecoy50,203,"-9,8",0,1,199,4,"0,25992","0,2500",,,"0,0197","0,9618","0,2599",,
3iodo-4tetrahydroacridindecoy32,204,"-9,8",0,1,200,4,"0,26120","0,2500",,,"0,0196","0,9571","0,2612",,
3iodo-4tetrahydroacridin,205,"-9,8",1,0,200,5,"0,26248","0,3125",,,"0,0244","1,1905","0,2625",,
3iodo-2tetrahydroacridindecoy38,206,"-9,8",0,1,201,5,"0,26376","0,3125",,,"0,0243","1,1847","0,2638",,
4iodo-3tetrahydroacridindecoy43,207,"-9,8",0,1,202,5,"0,26504","0,3125",,,"0,0242","1,1790","0,2650",,
