,A,B,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D,E,F,G,H,I,J
ZINC2034639,0.58098864182273,0.195228561733972,0.618876284969884,0.593145040793243,0.51328364383395,0.599465901196752,0.597501984573847,0.440525967749214,0.395508409322678,0.423845790271748,0.338608452478583,0.434849018503645,0.583648076367342,0.190751240492142,0.535210329659996,0.140506778212003,0.593564542345431,0.565633935150478,0.614038211945786,0.301703264204195
ZINC2019619,0.67884490195908,0.509668833930283,0.785724870810963,0.815061329963177,0.766490707041903,0.811377363540904,0.779309257002999,0.693961898307736,0.569002892744179,0.644124245942312,0.604524467145831,0.621060997721287,0.795841891125704,0.277181160085339,0.640520573800516,0.449082272349392,0.805814939030991,0.751748123080488,0.674040936354686,0.350701190382135
ZINC1849759,0.542640185399939,0.54688472558018,0.467208780316586,0.519726586891625,0.586507223691303,0.414886232580324,0.624747600732976,0.570811274646283,0.773236127943242,0.602209600611722,0.679156618496512,0.700120616752451,0.567542684028873,0.601870651396838,0.636649861500786,0.517095358104083,0.539955536108304,0.473918856111733,0.442013579064943,0.506510248409688
ZINC1648304,0.600911725064466,0.394528216657858,0.557654633966865,0.564893610905871,0.583399208270508,0.519740892860953,0.667400700456707,0.625118512305556,0.609847177856362,0.597584749362284,0.479457838260865,0.564610009070926,0.704514556457978,0.311212482665874,0.695223045853393,0.354738634467823,0.617249648739794,0.699608550647986,0.793950445021493,0.371240782990861
ZINC1599725,0.695019820248419,0.517466034391426,0.780650384630302,0.798658311307793,0.789500598654272,0.78867293202715,0.781461919330027,0.707888928013653,0.567640092579423,0.652844309408892,0.610753384240842,0.621520660661102,0.805897386154473,0.26671320342252,0.632825350851933,0.461489646225763,0.802611786209985,0.770943024000319,0.72361393218016,0.367779110292147
ZINC1599359,0.629088104171761,0.486666438400644,0.525934951392177,0.54044215680572,0.554187594362015,0.445684893140243,0.654576713184891,0.583575376071944,0.755738201719752,0.592305033664952,0.543694379255283,0.661058529529828,0.628505963014236,0.545276228800189,0.687795284939092,0.446736854802311,0.611659391675889,0.5642451365488,0.589697202475052,0.589105221283056
ZINC1531618,0.804017529915821,0.426662551957416,0.741223868325209,0.740976397192572,0.66765832304146,0.690535869747572,0.809133294238665,0.619939212777246,0.580128344726485,0.662056809701513,0.524028602730007,0.632379588869902,0.725305036191897,0.352933495945734,0.759047938021818,0.364722168054252,0.816477029588019,0.731287155945937,0.724312361866733,0.472395101885398
ZINC1531550,0.577506244979481,0.426153690984175,0.451812485041268,0.481416242108568,0.502109498394649,0.375717443457023,0.563926822096734,0.477595548791426,0.695159763227276,0.521702106281484,0.544559947165245,0.630205839596783,0.50174701954117,0.681141813440085,0.60466636543644,0.400215197787335,0.507738600693629,0.411620938542603,0.421179113369157,0.619975875383927
ZINC1531148,0.515708488563575,0.336478017131379,0.551710761182629,0.552205969513623,0.549601254259285,0.565627717202418,0.584645788359478,0.577320887238888,0.43121234072537,0.523088820746654,0.406572987873982,0.433089943514659,0.622172750975377,0.112906822106303,0.516343737812875,0.281105115762141,0.578917580904826,0.725148139165359,0.713683414227591,0.191334092568614
ZINC1530331,0.816674212589334,0.425260989895895,0.781984101689816,0.774319357863631,0.685711270606059,0.720758407729502,0.827120361327956,0.625662903497466,0.60113279026569,0.636055125868138,0.532699808573892,0.649134649270541,0.776147907608535,0.375905774130672,0.756433579633882,0.365769713030293,0.844963450962296,0.724403767019201,0.727629725043368,0.491051492547489
ZINC1529230,0.614145612641757,0.500927630796673,0.487926197407197,0.517016412035151,0.564865066476222,0.423631081123943,0.642533596204634,0.591422105378244,0.730062030547853,0.65147926713536,0.560127008468991,0.673259704337658,0.615535376583409,0.528705872902484,0.747650996470136,0.47470953427979,0.575500212943308,0.568647453144273,0.611463383773434,0.571742072780529
ZINC1529210,0.66679837986803,0.448643242424352,0.556565082604069,0.593988169810761,0.658457906364132,0.526383244903515,0.740343181269769,0.647615419116286,0.613230636804646,0.747647207315083,0.58663787254334,0.63056958730488,0.63669459650745,0.341333297930522,0.752910006719956,0.39930821545566,0.638332331082021,0.695682042560722,0.702314503080307,0.393545382448455
ZINC15121415,0.639671765080302,0.516477846994209,0.555557032944891,0.58460006903108,0.578374146114608,0.487067301770424,0.689988771215443,0.616961562887821,0.803151342731473,0.623723133047626,0.577946482575815,0.706020939850055,0.67409095630986,0.589157864068036,0.744655512981984,0.466410282164711,0.645467881275753,0.593820321156437,0.57365993919764,0.558141301669528
